InsectID,Location,Date,PlantID,Magnet,Microsite,Flowering,Quantity,Order,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,highest.rtu,Common Name,Notes,Specimen Location,ID Keys Used
Open.300.May.5.2017.Braun.3,pinned,5.5.2017,300,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.302.May.5.2017.Braun.4,pinned,5.5.2017,302,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.302.May.5.2017.Braun.5,pinned,5.5.2017,302,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
,ethanol,4.20.2017,287,,shrub,pre,1,Hymenoptera,,Braconidae,,,,,,Braconidae,,,,
,ethanol,5.5.2017,281,,open,post,1,Coleoptera,,Buprestidae,striped,,,,,Buprestidae,,,,
,ethanol,4.11.2017,197,larrea,open,pre,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
,ethanol,4.11.2017,273,,shrub,pre,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
,ethanol,4.15.2017,269,,open,pre,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
,ethanol,5.1.2017,278,,open,post,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
,ethanol,5.1.2017,199,,open,post,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
,ethanol,5.3.2017,285,,shrub,post,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
,ethanol,5.3.2017,285,,open,post,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
Shrub.261.May.4.2017.Braun.3,pinned,5.4.2017,261,larrea,shrub,post,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
Shrub.261.May.4.2017.Braun.7,pinned,5.4.2017,261,larrea,shrub,post,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
,ethanol,4.10.2017,296,larrea,shrub,pre,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
,ethanol,4.12.2017,191,,open,pre,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
,ethanol,4.17.2017,280,,shrub,pre,1,Coleoptera,,Buprestidae,,,,,,Buprestidae,,,,
