"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.descript","visitor.rtu.original","highest.rtu","flies.on","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","id.check","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"60","Jenna","LO4","288","open","pre","larrea","malacothrix","4.10.2017","0:39:39",9,"","syrphid","eupeodes/scaeva","Y","","","0:32:09","0:32:40","0:00:31",1,1,"","","4.10.2017 288 LO4 open pre","LO44.10.2017",2019-03-04 00:00:31,0.00861111111111111,0.111111111111111,0.111111111111111
"61","Jenna","LO4","288","open","pre","larrea","malacothrix","4.10.2017","0:39:39",9,"","syrphid","eupeodes/scaeva","Y","touchdown","","0:33:01","0:33:02","0:00:01",1,1,"","","4.10.2017 288 LO4 open pre","LO44.10.2017",2019-03-04 00:00:01,0.000277777777777778,0.111111111111111,0.111111111111111
"62","Jenna","LO4","288","open","pre","larrea","malacothrix","4.10.2017","0:39:39",9,"","syrphid","eupeodes/scaeva","Y","","","0:34:57","0:36:43","0:01:46",1,1,"","","4.10.2017 288 LO4 open pre","LO44.10.2017",2019-03-04 00:01:46,0.0294444444444444,0.111111111111111,0.111111111111111
"63","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva","Y","","same individual as above","0:02:56","0:04:37","0:01:41",1,1,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:01:41,0.0280555555555556,0.125,0.125
"64","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva?","Y","","","0:09:20","0:17:16","0:07:56",3,3,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:07:56,0.132222222222222,0.375,0.375
"65","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva","Y","","","0:10:11","0:22:17","0:12:06",1,1,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:12:06,0.201666666666667,0.125,0.125
"66","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva","Y","","","0:14:07","0:14:37","0:00:30",2,2,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:00:30,0.00833333333333333,0.25,0.25
"67","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid?","syrphid","Y","","","0:26:25","0:26:39","0:00:14",1,1,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:00:14,0.00388888888888889,0.125,0.125
"68","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva","Y","","","0:30:48","0:33:49","0:03:01",1,1,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:03:01,0.0502777777777778,0.125,0.125
"69","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva","Y","","","0:35:28","0:37:23","0:01:55",1,1,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:01:55,0.0319444444444444,0.125,0.125
"70","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva","Y","","","0:42:49","0:45:13","0:02:24",2,2,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:02:24,0.04,0.25,0.25
"71","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva","Y","","","0:47:00","0:47:09","0:00:09",1,1,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:00:09,0.0025,0.125,0.125
"72","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva","Y","","","0:52:28","0:56:53","0:04:25",1,1,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:04:25,0.0736111111111111,0.125,0.125
"73","Jenna","LO6","273","open","pre","larrea","malacothrix","4.10.2017","0:58:29",8,"","syrphid","eupeodes/scaeva","Y","","","0:58:08","0:58:29","0:00:21",2,2,"","","4.10.2017 273 LO6 open pre","LO64.10.2017",2019-03-04 00:00:21,0.00583333333333333,0.25,0.25
"74","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"small, can't see it clearly on small screen","small bee?","small bee - lasioglossum?","Y","some green metallic tones","crawled to back of flower","0:04:55","0:10:02","0:05:07",2,2,"","","4.10.2017 146 LS1 shrub pre","LS14.10.2017",2019-03-04 00:05:07,0.0852777777777778,0.222222222222222,0.222222222222222
